QID + Label,Alias,Count
Q1692000 – Johannes Hudde,Huddenii,0
Q1692000 – Johannes Hudde,Total,0
Q658008 – John Theophilus Desaguliers,Dr. Desaguliers,1
Q658008 – John Theophilus Desaguliers,Total,1
Q1356811 – Joseph Sauveur,M. Sauveur,1
Q1356811 – Joseph Sauveur,Total,1
Q619 – Nicolaus Copernicus,Copernicus,4
Q619 – Nicolaus Copernicus,Copernican hypothesis,1
Q619 – Nicolaus Copernicus,Total,5
Q311814 – Giovanni Alfonso Borelli,Borelli,3
Q311814 – Giovanni Alfonso Borelli,Total,3
Q14279 – Giovanni Domenico Cassini,Cassini,12
Q14279 – Giovanni Domenico Cassini,Total,12
Q4375031 – James Pound,Mr. Pound,7
Q4375031 – James Pound,Total,7
Q8963 – Johannes Kepler,Kepler,19
Q8963 – Johannes Kepler,Keplerian,1
Q8963 – Johannes Kepler,Total,20
Q711273 – Ismaël Bullialdus,Bullialdus,7
Q711273 – Ismaël Bullialdus,Total,7
Q34943 – Ptolemy,Ptolemy,2
Q34943 – Ptolemy,Total,2
Q735426 – Godfried Wendelen,Vendelin,4
Q735426 – Godfried Wendelen,Total,4
Q521638 – Thomas Street,Street,1
Q521638 – Thomas Street,Total,1
Q36620 – Tycho Brahe,Tycho,9
Q36620 – Tycho Brahe,Tycho Brahe,1
Q36620 – Tycho Brahe,Tychonic,1
Q36620 – Tycho Brahe,Total,11
Q362753 – Nicholas Mercator,Mr. N. Mercator,1
Q362753 – Nicholas Mercator,Total,1
Q7328100 – Richard Norwood,Mr. Norwood,1
Q7328100 – Richard Norwood,Total,1
Q314854 – Jean Picard,M. Picart,2
Q314854 – Jean Picard,Total,2
Q720451 – Jean Richer,M. Richer,4
Q720451 – Jean Richer,Total,4
Q138334135 – Varin,M. Varin,1
Q138334135 – Varin,Total,1
Q85853581 – Jean Deshayes,M. des Hayes,3
Q85853581 – Jean Deshayes,Total,3
Q2093339 – Pierre Couplet,"M. Couplet, the son",1
Q2093339 – Pierre Couplet,Total,1
Q1871688 – Louis Feuillée,P. Feuillé,1
Q1871688 – Louis Feuillée,Total,1
Q371890 – Philippe de La Hire,M. de la Hire,1
Q371890 – Philippe de La Hire,Total,1
Q138334903 – Samuel Colepress,Colepress,2
Q138334903 – Samuel Colepress,Samuel Colepress,1
Q138334903 – Samuel Colepress,Total,3
Q18922288 – Samuel Sturmy,Sturmy,6
Q18922288 – Samuel Sturmy,Samuel Sturmy,1
Q18922288 – Samuel Sturmy,Total,7
Q726385 – John Machin,"Mr. Machin, Astron., Gresh. Prof.",0
Q726385 – John Machin,Total,0
Q1607145 – Henry Pemberton,Dr. Henry Pemberton,1
Q1607145 – Henry Pemberton,Total,1
Q242388 – John Flamsteed,Mr. Flamsted,16
Q242388 – John Flamsteed,Total,16
Q57963 – Johannes Hevelius,Hevelius,21
Q57963 – Johannes Hevelius,Total,21
Q123842 – Johann Baptist Cysat,Cysatus,2
Q123842 – Johann Baptist Cysat,Total,2
Q78427 – Johann Bayer,Bayer,7
Q78427 – Johann Bayer,Total,7
Q62317 – Gottfried Kirch,Mr. Gottfried Kirch,1
Q62317 – Gottfried Kirch,Total,1
