*DOAJ Keywords	Wikidata label(en)	WikidataQID
industrial history	industrial history	Q1662034
gender	gender studies	Q1662673
gender studies	gender studies	Q1662673
internacional relations	international relations	Q166542
international relations	international relations	Q166542
classical archaeology	classical archaeology	Q1669589
medieval archaelogy	medieval archaeology	Q1671076
medieval archaeology	medieval archaeology	Q1671076
medieval archeology	medieval archaeology	Q1671076
history of knowledge	history of knowledge	Q16929577
early modern philosophy	early modern philosophy	Q16966481
journalism	journalism studies	Q1709909
restauration	gastronomy	Q171141
ocean governance	ocean governance	Q17162759
social economy	social economy	Q1725719
invention	innovation	Q174165
roman antiquity	Ancient Rome	Q1747689
naming	onomastics	Q175156
onomastics	onomastics	Q175156
proper names	onomastics	Q175156
rural areas	rural area	Q175185
christian archaeology	Christian archaeology	Q1760972
conflicts	conflict studies	Q1781444
russian literature	Russian literature	Q179161
philosophy of culture	philosophy of culture	Q1791813
cultural theory	culture theory	Q1791882
phenomenology	phenomenology	Q179235
political philosophy	political philosophy	Q179805
political thought	political philosophy	Q179805
history of writing	palaeography	Q179957
paleography	palaeography	Q179957
church history	church history	Q1800439
regional history	regional history	Q1802210
waste management	waste management	Q180388
philosophy of mathematics	philosophy of mathematics	Q180536
social philosophy	social philosophy	Q180592
latin	Latin studies	Q1806979
epigrafi	epigraphy	Q181260
epigraphic studies	epigraphy	Q181260
epigraphy	epigraphy	Q181260
greek and latin epigraphy	epigraphy	Q181260
economic depression	depression	Q1814941
armenian culture	culture of Armenia	Q1818127
civil society	civil society	Q181865
classical reception	classical reception studies	Q18206018
computational linguistics	computational linguistics	Q182557
performing arts	performing arts	Q184485
lexicography	lexicography	Q184524
latin literature	Latin-language literature	Q184890
quantitative analysis of economic	quantitative analysis	Q185168
business management	business management	Q18564125
methodology	methodology	Q185698
contemporary art	contemporary art	Q186030
contemporary culture	contemporary art	Q186030
contemporanean history	contemporary history	Q186075
axiology	axiology	Q186531
canon law	canon law	Q188462
environmental science	environmental science	Q188847
environmental sciences	environmental science	Q188847
diplomacy	diplomacy	Q1889
history of islamic art	Islamic art	Q189594
public health	public health	Q189603
economic growth and development	economic growth	Q189833
exhumations	exhumation	Q1898510
diachronic linguistics	historical linguistics	Q190375
historical linguistics	historical linguistics	Q190375
history of the turkish republic	history of Turkey	Q190876
turkish history	history of Turkey	Q190876
working class	working class	Q191159
big history	big history	Q1920418
universal history	big history	Q1920418
history of mentalities	history of mentalities	Q1920942
medieval	medieval philosophy	Q192292
medieval philosophy	medieval philosophy	Q192292
military science	military science	Q192386
military history	military history	Q192781
forced migration	migration studies	Q1932514
internal displacement	migration studies	Q1932514
migration	migration studies	Q1932514
migration of population	migration studies	Q1932514
sports history	history of sport	Q1936640
arab world literature	Arabic literature	Q194380
clean energy	sustainable energy	Q1962383
taxation	taxation	Q1964442
diaspora	diaspora*	Q1973097
anthroponomastics	anthroponymy	Q1973833
russian culture	culture of Russia	Q1976715
sociological theory	social theory	Q1990987
polish history	history of Poland	Q199569
librarianship	library science	Q199655
library science	library science	Q199655
ancient culture	Ancient culture	Q20072760
nature conservation	nature conservation	Q20113959
history of science	history of science	Q201486
history of science in islam	history of science	Q201486
oriental languages	oriental languages	Q2030542
romani studies	Romani studies	Q2037434
belgian history	history of Belgium	Q205317
belgium	history of Belgium	Q205317
history of belgium	history of Belgium	Q205317
television	television studies	Q2065951
applied art	applied arts	Q207241
iconography	iconography	Q208145
history and theory of literature	literary studies	Q208217
letters	literary studies	Q208217
literary studies	literary studies	Q208217
literature	literary studies	Q208217
ethnomusicology	ethnomusicology	Q208365
labour movement	labor movement	Q208701
latvian history	history of Latvia	Q209655
patrimony	cultural heritage	Q210272
history of ukraine	history of Ukraine	Q210701
ukrainian history	history of Ukraine	Q210701
productivity	productivity	Q2111958
history of brazil	history of Brazil	Q211967
computer sciences	computer science	Q21198
history and sociology	sociology	Q21201
sociology	sociology	Q21201
history of mexico	history of Mexico	Q212763
digital collections	digital library	Q212805
material culture	material culture	Q2143054
cultural and social anthropology	social and cultural anthropology	Q21505779
restoration	restoration	Q217102
ethnohistory	ethnohistory	Q2181985
etnohistory	ethnohistory	Q2181985
genomics	genomics	Q222046
history of southeast asia	history of Southeast Asia	Q2227514
art and visual culture in croatia central europe and mediterranean	Croatia	Q224
public economics	public economics	Q2248246
materials science	materials science	Q228736
finance	financial economics	Q2294553
financial economics	financial economics	Q2294553
central europe	Central European studies	Q23019169
social work	social work science	Q2305240
decolonization	decolonization	Q230533
pre-history	prehistory and early history	Q2310752
prehistory	prehistory and early history	Q2310752
american political development	American political development	Q23130273
chemistry	chemistry	Q2329
anthropology	anthropology	Q23404
antropology	anthropology	Q23404
archaelogical research	archaeology	Q23498
archaelogy	archaeology	Q23498
archaeology	archaeology	Q23498
archealogy	archaeology	Q23498
archeology	archaeology	Q23498
archéologie	archaeology	Q23498
arqueologia	archaeology	Q23498
classic archaeology	archaeology	Q23498
excavations	archaeology	Q23498
field archaeology	archaeology	Q23498
mountain archaeology	archaeology	Q23498
world archaeology	archaeology	Q23498
slavic languages	Slavic	Q23526
strategic studies	strategic studies	Q2353818
urban studies	urban studies	Q23578769
sumerian studies	Sumerology	Q2365225
history of latin america	history of Latin America	Q2365406
latin america history	history of Latin America	Q2365406
latin american history	history of Latin America	Q2365406
spanish american history	history of Latin America	Q2365406
data science	data science	Q2374463
data sciences	data science	Q2374463
art criticism	History of art criticism	Q23807882
hispanic literature	Spanish literature	Q238499
history of the netherlands	history of the Netherlands	Q238533
netherlands	history of the Netherlands	Q238533
management	management science	Q2414942
prehistoric	prehistoric archaeology	Q2415966
prehistoric archaeology	prehistoric archaeology	Q2415966
prehistorik arkeoloji	prehistoric archaeology	Q2415966
business economics	Business Economics	Q24208053
catalonia	catalanistics	Q24260742
reclamation	restoration ecology	Q2428433
argentina	history of Argentina	Q243976
argentine history	history of Argentina	Q243976
argentinian history	history of Argentina	Q243976
science and society	science and technology studies	Q2445082
cultural heritage	heritage studies	Q25101906
cultural heritage management	heritage studies	Q25101906
documentary heritage	heritage studies	Q25101906
heritage	heritage studies	Q25101906
heritage studies	heritage studies	Q25101906
memory	heritage studies	Q25101906
recovery of heritage	heritage studies	Q25101906
renaissance studies	Renaissance studies	Q25111456
